Game_Date,Opponent,Player,Player_Status,Injury_Status,PTS_Q1,REB_Q1,AST_Q1,3PM_Q1,PTS_Q2,REB_Q2,AST_Q2,3PM_Q2,PTS_Q3,REB_Q3,AST_Q3,3PM_Q3,PTS_Q4,REB_Q4,AST_Q4,3PM_Q4,PTS_TOTAL,REB_TOTAL,AST_TOTAL,3PM_TOTAL
11/25,New Orleans Pelicans,Ayo Dosunmu,Starter,Healthy,2,2,0,0,6,0,0,0,10,0,0,1,10,0,1,1,28,2,1,2
11/25,New Orleans Pelicans,Coby White,Starter,Day-To-Day,2,1,1,0,5,1,2,1,11,3,1,2,6,0,2,0,24,5,6,3
11/25,New Orleans Pelicans,Josh Giddey,Starter,Healthy,8,1,1,1,3,2,0,1,2,2,3,0,8,2,2,2,21,7,6,4
11/25,New Orleans Pelicans,Matas Buzelis,Starter,Healthy,7,1,0,1,3,1,0,1,0,2,0,0,0,0,0,0,10,4,0,2
11/25,New Orleans Pelicans,Patrick Williams,Starter,Day-To-Day,0,1,1,0,0,1,0,0,6,1,1,2,0,1,0,0,6,4,2,2
11/23,Washington Wizards,Ayo Dosunmu,Starter,Healthy,4,2,0,0,0,1,0,0,3,1,0,1,1,1,1,0,8,5,1,1
11/23,Washington Wizards,Coby White,Starter,Day-To-Day,10,0,0,2,3,3,3,0,4,0,1,1,3,0,2,0,20,3,6,3
11/23,Washington Wizards,Josh Giddey,Starter,Healthy,4,4,4,0,2,2,0,0,7,3,4,1,5,3,3,1,18,12,11,2
11/23,Washington Wizards,Matas Buzelis,Starter,Healthy,6,1,0,0,4,2,0,0,0,2,1,0,3,1,0,1,13,6,1,1
11/23,Washington Wizards,Nikola Vucevic,Starter,Day-To-Day,6,4,1,0,8,3,0,1,6,4,1,0,8,1,0,2,28,12,2,3
11/22,Miami Heat,Ayo Dosunmu,Starter,Healthy,4,0,1,0,2,0,0,0,5,0,0,1,12,1,3,2,23,1,4,3
11/22,Miami Heat,Isaac Okoro,Starter,Out,4,1,0,0,2,0,0,0,3,1,0,1,0,0,0,0,9,2,0,1
11/22,Miami Heat,Josh Giddey,Starter,Healthy,6,2,2,1,4,1,2,0,6,4,2,0,3,4,3,0,19,11,9,1
11/22,Miami Heat,Matas Buzelis,Starter,Healthy,2,0,1,0,4,1,0,0,0,4,0,0,0,0,0,0,6,5,1,0
11/22,Miami Heat,Nikola Vucevic,Starter,Day-To-Day,2,1,1,0,4,3,2,0,0,0,0,0,0,0,0,0,6,4,3,0
11/20,Portland Trail Blazers,Isaac Okoro,Starter,Out,0,0,0,0,0,0,0,0,11,1,0,3,2,0,0,0,13,1,0,3
11/20,Portland Trail Blazers,Josh Giddey,Starter,Healthy,2,1,4,0,0,1,2,0,5,2,5,0,0,1,2,0,9,5,13,2
11/20,Portland Trail Blazers,Kevin Huerter,Starter,Day-To-Day,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,2,2,0
11/20,Portland Trail Blazers,Matas Buzelis,Starter,Healthy,0,0,1,0,7,2,0,1,4,3,2,0,0,0,1,0,11,5,4,1
11/20,Portland Trail Blazers,Nikola Vucevic,Starter,Day-To-Day,10,3,0,2,7,3,2,1,7,0,0,1,3,2,0,1,27,8,2,5
11/18,Denver Nuggets,Isaac Okoro,Starter,Out,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,1,0
11/18,Denver Nuggets,Josh Giddey,Starter,Healthy,4,5,3,0,2,2,2,0,7,2,1,0,8,5,0,0,21,14,6,0
11/18,Denver Nuggets,Kevin Huerter,Starter,Day-To-Day,3,1,0,1,4,0,0,0,8,0,0,2,5,1,1,1,20,2,1,4
11/18,Denver Nuggets,Matas Buzelis,Starter,Healthy,8,0,0,1,2,3,0,0,2,0,2,0,0,1,0,0,13,4,2,2
11/18,Denver Nuggets,Nikola Vucevic,Starter,Day-To-Day,0,2,1,0,0,0,0,0,5,4,4,1,3,3,1,1,8,9,6,2
11/25,New Orleans Pelicans,Jalen Smith,Bench,Healthy,0,0,0,0,6,3,0,2,0,1,0,0,7,2,1,1,13,6,1,3
11/25,New Orleans Pelicans,Jevon Carter,Bench,Healthy,9,1,1,3,0,0,0,0,0,0,0,0,2,0,0,0,11,1,1,3
11/25,New Orleans Pelicans,Julian Phillips,Bench,Healthy,2,1,0,0,2,0,0,0,0,1,1,0,3,0,0,1,7,2,1,1
11/25,New Orleans Pelicans,Noa Essengue,Bench,Healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/25,New Orleans Pelicans,Tre Jones,Bench,Healthy,0,0,2,0,3,2,6,0,6,0,1,0,1,0,2,0,10,2,11,0
11/23,Washington Wizards,Jalen Smith,Bench,Healthy,0,4,1,0,3,1,0,1,4,1,0,0,2,3,0,0,9,9,1,1
11/23,Washington Wizards,Jevon Carter,Bench,Healthy,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0
11/23,Washington Wizards,Julian Phillips,Bench,Healthy,4,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,3,0,0
11/23,Washington Wizards,Kevin Huerter,Bench,Day-To-Day,4,0,0,0,2,0,1,0,0,0,2,0,3,0,0,1,9,0,3,1
11/23,Washington Wizards,Noa Essengue,Bench,Healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/23,Washington Wizards,Tre Jones,Bench,Healthy,2,0,0,0,0,0,0,0,4,1,0,0,4,1,1,0,10,2,1,0
11/22,Miami Heat,Dalen Terry,Bench,Out,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,2,0
11/22,Miami Heat,Jalen Smith,Bench,Healthy,8,2,0,2,0,0,1,0,2,0,0,0,4,0,1,0,14,2,2,2
11/22,Miami Heat,Jevon Carter,Bench,Healthy,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,2,10,1,0,2
11/22,Miami Heat,Julian Phillips,Bench,Healthy,0,0,0,0,0,0,0,0,0,1,0,0,3,1,1,1,3,2,1,1
11/22,Miami Heat,Kevin Huerter,Bench,Day-To-Day,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,3,2,0,1
11/22,Miami Heat,Patrick Williams,Bench,Day-To-Day,2,0,1,0,1,1,0,0,5,0,1,1,0,0,0,0,8,1,2,1
11/22,Miami Heat,Tre Jones,Bench,Healthy,4,1,0,0,0,2,1,0,2,0,1,0,0,1,0,0,6,4,2,0
11/20,Portland Trail Blazers,Ayo Dosunmu,Bench,Healthy,3,1,0,1,5,1,1,1,0,0,0,0,6,2,0,0,14,4,1,2
11/20,Portland Trail Blazers,Coby White,Bench,Day-To-Day,5,0,1,1,8,0,3,1,5,1,1,1,6,0,2,1,25,1,7,5
11/20,Portland Trail Blazers,Dalen Terry,Bench,Out,0,1,2,0,4,0,1,0,0,2,0,0,2,0,2,0,6,3,5,0
11/20,Portland Trail Blazers,Jalen Smith,Bench,Healthy,3,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,5,1,0,1
11/20,Portland Trail Blazers,Jevon Carter,Bench,Healthy,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,1,3,1,1,1
11/20,Portland Trail Blazers,Julian Phillips,Bench,Healthy,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0
11/20,Portland Trail Blazers,Patrick Williams,Bench,Day-To-Day,2,3,0,0,0,0,0,0,2,2,1,0,0,0,0,0,5,5,1,1
11/18,Denver Nuggets,Ayo Dosunmu,Bench,Healthy,0,1,2,0,7,0,1,1,8,1,1,0,6,1,1,0,21,3,5,1
11/18,Denver Nuggets,Dalen Terry,Bench,Out,3,2,0,1,2,1,2,0,0,0,1,0,0,0,1,0,5,3,4,1
11/18,Denver Nuggets,Jalen Smith,Bench,Healthy,0,1,1,0,13,4,1,3,3,3,0,0,0,0,0,0,16,8,2,3
11/18,Denver Nuggets,Jevon Carter,Bench,Healthy,6,1,0,2,3,0,1,1,3,2,0,1,3,1,0,1,15,4,1,5
11/18,Denver Nuggets,Julian Phillips,Bench,Healthy,0,0,0,0,0,2,1,0,0,0,0,0,2,1,0,0,2,3,1,0
11/18,Denver Nuggets,Patrick Williams,Bench,Day-To-Day,3,0,1,1,0,0,0,0,4,1,1,0,0,1,0,0,7,2,2,1
