Game_Date,Opponent,Player,Player_Status,Injury_Status,PTS_Q1,REB_Q1,AST_Q1,3PM_Q1,PTS_Q2,REB_Q2,AST_Q2,3PM_Q2,PTS_Q3,REB_Q3,AST_Q3,3PM_Q3,PTS_Q4,REB_Q4,AST_Q4,3PM_Q4,PTS_TOTAL,REB_TOTAL,AST_TOTAL,3PM_TOTAL
11/26,LA Clippers,Austin Reaves,Starter,Healthy,2,3,2,0,7,5,0,1,4,1,0,0,18,0,1,1,31,9,3,2
11/26,LA Clippers,Jaxson Hayes,Starter,Healthy,2,1,0,0,2,0,0,0,0,0,0,0,4,3,3,0,8,4,3,0
11/26,LA Clippers,LeBron James,Starter,Healthy,0,0,1,0,8,1,1,0,9,0,1,0,7,5,3,1,25,6,6,2
11/26,LA Clippers,Luka Doncic,Starter,Healthy,23,1,3,4,8,2,3,1,7,5,5,1,4,1,2,0,43,9,13,7
11/26,LA Clippers,Rui Hachimura,Starter,Healthy,7,2,0,1,2,0,0,0,2,1,0,0,2,0,0,0,13,3,0,1
11/24,Utah Jazz,Austin Reaves,Starter,Healthy,7,4,2,0,5,2,0,1,5,3,1,0,5,1,1,0,22,10,4,1
11/24,Utah Jazz,Deandre Ayton,Starter,Day-To-Day,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0
11/24,Utah Jazz,LeBron James,Starter,Healthy,2,0,1,0,8,4,5,0,3,1,1,0,4,1,1,0,17,6,8,0
11/24,Utah Jazz,Luka Doncic,Starter,Healthy,13,2,1,1,2,0,4,0,10,3,2,1,8,6,1,1,33,11,8,3
11/24,Utah Jazz,Rui Hachimura,Starter,Healthy,7,3,0,1,3,0,0,1,1,2,0,0,2,1,0,0,13,6,0,2
11/19,Utah Jazz,Austin Reaves,Starter,Healthy,3,1,0,0,11,1,1,1,5,1,0,0,7,2,0,0,26,5,1,1
11/19,Utah Jazz,Deandre Ayton,Starter,Day-To-Day,2,4,0,0,4,4,1,0,4,1,0,0,10,5,0,0,20,14,1,0
