Game_Date,Opponent,Player,Player_Status,Injury_Status,PTS_Q1,REB_Q1,AST_Q1,3PM_Q1,PTS_Q2,REB_Q2,AST_Q2,3PM_Q2,PTS_Q3,REB_Q3,AST_Q3,3PM_Q3,PTS_Q4,REB_Q4,AST_Q4,3PM_Q4,PTS_TOTAL,REB_TOTAL,AST_TOTAL,3PM_TOTAL
11/26,Boston Celtics,Ausar Thompson,Starter,Healthy,1,2,1,0,5,0,0,1,2,2,1,0,0,4,0,0,8,8,2,1
11/26,Boston Celtics,Cade Cunningham,Starter,Healthy,11,2,2,1,6,2,0,1,13,2,0,2,12,2,3,0,42,8,5,4
11/26,Boston Celtics,Duncan Robinson,Starter,Healthy,6,0,1,2,0,0,0,0,3,1,1,1,2,1,1,0,11,2,3,3
11/26,Boston Celtics,Jalen Duren,Starter,Healthy,4,3,0,0,5,10,1,0,1,2,0,0,2,1,0,0,12,16,1,0
11/26,Boston Celtics,Tobias Harris,Starter,Healthy,0,1,1,0,5,1,1,0,2,1,1,0,5,1,0,1,12,4,3,1
11/25,Indiana Pacers,Ausar Thompson,Starter,Healthy,4,0,0,0,7,1,2,0,0,1,1,0,2,1,1,0,13,3,4,0
11/25,Indiana Pacers,Cade Cunningham,Starter,Healthy,2,3,2,0,4,3,1,0,12,4,2,0,6,1,1,0,24,11,6,0
11/25,Indiana Pacers,Duncan Robinson,Starter,Healthy,3,2,0,1,6,0,0,0,0,1,0,0,0,1,0,0,9,4,0,1
11/25,Indiana Pacers,Jalen Duren,Starter,Healthy,6,3,1,0,2,3,0,0,5,4,1,0,4,2,0,0,17,12,2,0
11/25,Indiana Pacers,Tobias Harris,Starter,Healthy,5,1,0,1,3,0,1,0,2,0,1,0,2,0,0,0,12,1,2,1
11/23,Milwaukee Bucks,Ausar Thompson,Starter,Healthy,4,1,0,0,2,0,0,0,0,0,0,0,0,1,1,0,6,2,1,0
11/23,Milwaukee Bucks,Cade Cunningham,Starter,Healthy,5,3,5,1,10,2,2,1,7,2,2,1,7,1,1,0,29,8,10,3
11/23,Milwaukee Bucks,Duncan Robinson,Starter,Healthy,6,1,1,2,0,1,0,0,6,1,1,2,3,0,0,1,15,3,2,5
11/23,Milwaukee Bucks,Jalen Duren,Starter,Healthy,6,1,2,0,2,1,1,0,8,2,0,0,3,2,2,0,19,6,5,0
11/23,Milwaukee Bucks,Tobias Harris,Starter,Healthy,2,0,0,0,4,2,2,0,6,2,2,2,6,1,0,1,18,5,4,3
11/19,Atlanta Hawks,Cade Cunningham,Starter,Healthy,2,3,4,0,8,3,4,0,6,0,2,0,9,0,0,1,25,6,10,1
11/19,Atlanta Hawks,Daniss Jenkins,Starter,Healthy,5,0,3,1,2,1,1,0,5,2,1,0,2,0,2,0,14,3,7,1
11/19,Atlanta Hawks,Duncan Robinson,Starter,Healthy,9,2,2,3,0,0,1,0,3,1,0,1,2,0,0,0,14,3,3,4
11/19,Atlanta Hawks,Isaiah Stewart,Starter,Healthy,3,2,1,0,4,3,2,0,4,1,0,0,2,3,0,0,13,9,3,0
11/19,Atlanta Hawks,Jalen Duren,Starter,Healthy,8,1,0,0,2,1,1,0,5,1,2,0,9,5,0,0,24,8,3,0
11/18,Indiana Pacers,Daniss Jenkins,Starter,Healthy,2,0,2,0,7,0,2,0,4,1,1,0,13,1,3,1,26,2,8,1
11/18,Indiana Pacers,Duncan Robinson,Starter,Healthy,9,0,0,3,1,0,0,0,2,1,1,0,1,1,3,0,13,2,4,3
11/18,Indiana Pacers,Isaiah Stewart,Starter,Healthy,3,0,0,1,2,1,0,0,5,1,0,1,0,0,0,0,10,2,0,2
11/18,Indiana Pacers,Jalen Duren,Starter,Healthy,6,2,1,0,12,7,1,0,3,2,1,0,10,4,0,0,31,15,3,0
11/18,Indiana Pacers,Ronald Holland II,Starter,Healthy,0,2,1,0,3,2,0,1,2,1,1,0,2,2,0,0,7,7,2,1
11/26,Boston Celtics,Caris LeVert,Bench,Healthy,2,3,1,0,3,0,0,1,2,0,1,0,3,0,1,1,10,3,3,2
11/26,Boston Celtics,Daniss Jenkins,Bench,Healthy,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
11/26,Boston Celtics,Isaiah Stewart,Bench,Healthy,2,5,1,0,0,0,0,0,0,0,0,0,4,4,0,0,6,9,1,0
11/26,Boston Celtics,Jaden Ivey,Bench,Day-To-Day,0,0,0,0,2,2,0,0,2,1,0,0,3,1,0,0,7,4,0,0
11/26,Boston Celtics,Javonte Green,Bench,Healthy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11/26,Boston Celtics,Ronald Holland II,Bench,Healthy,4,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0
