Game_Date,Opponent,Player,Player_Status,Injury_Status,PTS_Q1,REB_Q1,AST_Q1,3PM_Q1,PTS_Q2,REB_Q2,AST_Q2,3PM_Q2,PTS_Q3,REB_Q3,AST_Q3,3PM_Q3,PTS_Q4,REB_Q4,AST_Q4,3PM_Q4,PTS_TOTAL,REB_TOTAL,AST_TOTAL,3PM_TOTAL
11/26,Los Angeles Lakers,Ivica Zubac,Starter,Healthy,2,3,2,0,0,2,1,0,4,1,0,0,4,4,1,0,10,10,4,0
11/26,Los Angeles Lakers,James Harden,Starter,Healthy,11,4,4,1,5,0,1,1,11,1,3,1,2,0,1,0,29,5,9,3
11/26,Los Angeles Lakers,John Collins,Starter,Healthy,8,1,1,2,3,1,0,1,4,3,0,0,3,0,0,1,18,5,1,4
11/26,Los Angeles Lakers,Kawhi Leonard,Starter,Healthy,3,0,2,1,6,2,0,0,4,2,0,0,6,1,1,0,19,5,3,1
11/26,Los Angeles Lakers,Kris Dunn,Starter,Healthy,7,0,0,1,5,0,2,1,2,0,0,0,5,0,1,1,19,0,3,3
11/23,Cleveland Cavaliers,Ivica Zubac,Starter,Healthy,6,5,0,0,6,5,1,0,10,6,2,0,11,2,1,0,33,18,4,0
11/23,Cleveland Cavaliers,James Harden,Starter,Healthy,10,1,3,0,2,0,1,0,7,1,2,0,0,0,0,0,19,2,6,0
11/23,Cleveland Cavaliers,John Collins,Starter,Healthy,2,1,0,0,1,0,0,0,2,2,0,0,0,0,0,0,5,3,0,0
11/23,Cleveland Cavaliers,Kawhi Leonard,Starter,Healthy,4,2,0,0,7,0,1,0,3,0,1,1,5,1,0,1,20,3,2,3
11/23,Cleveland Cavaliers,Kris Dunn,Starter,Healthy,2,1,1,0,5,3,0,1,2,0,1,0,0,0,0,0,9,4,2,1
11/22,Charlotte Hornets,Ivica Zubac,Starter,Healthy,6,3,1,0,2,2,5,0,8,3,0,0,2,1,0,0,18,9,6,0
11/22,Charlotte Hornets,James Harden,Starter,Healthy,27,0,1,5,8,0,0,1,8,2,5,2,12,1,1,2,55,3,7,10
11/22,Charlotte Hornets,John Collins,Starter,Healthy,0,2,0,0,3,1,0,1,5,2,0,0,2,2,0,0,10,7,0,1
11/22,Charlotte Hornets,Kobe Sanders,Starter,Healthy,2,0,0,0,0,0,0,0,6,1,1,0,3,0,1,1,11,1,2,1
11/22,Charlotte Hornets,Kris Dunn,Starter,Healthy,0,0,2,0,4,2,1,0,0,0,2,0,2,0,1,0,6,2,6,0
11/21,Orlando Magic,Ivica Zubac,Starter,Healthy,2,4,0,0,2,9,0,0,6,2,0,0,4,4,0,0,14,19,0,0
11/21,Orlando Magic,James Harden,Starter,Healthy,11,3,3,2,13,0,0,2,7,2,5,1,0,0,0,0,31,5,8,5
11/21,Orlando Magic,John Collins,Starter,Healthy,4,1,0,0,2,1,0,0,3,2,0,0,0,0,0,0,9,4,0,0
11/21,Orlando Magic,Kobe Sanders,Starter,Healthy,0,0,0,0,3,1,0,0,3,1,0,1,0,0,0,0,6,2,0,1
11/21,Orlando Magic,Kris Dunn,Starter,Healthy,4,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,4,3,3,0
11/18,Philadelphia 76ers,Ivica Zubac,Starter,Healthy,6,5,1,0,2,2,0,0,2,4,0,0,4,2,0,0,14,13,1,0
11/18,Philadelphia 76ers,James Harden,Starter,Healthy,16,2,2,1,1,0,2,0,7,2,1,0,3,2,0,0,28,6,5,2
11/18,Philadelphia 76ers,John Collins,Starter,Healthy,3,4,0,0,0,1,0,0,3,1,0,0,5,1,0,0,11,7,0,0
11/18,Philadelphia 76ers,Kobe Sanders,Starter,Healthy,2,1,1,0,3,0,0,1,8,0,0,2,4,0,0,0,17,1,1,3
11/18,Philadelphia 76ers,Kris Dunn,Starter,Healthy,3,1,2,1,2,0,3,0,2,1,0,0,0,0,0,0,7,2,5,1
11/26,Los Angeles Lakers,Cam Christie,Bench,Healthy,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
11/26,Los Angeles Lakers,Chris Paul,Bench,Healthy,0,0,0,0,2,1,1,0,0,0,0,0,2,0,0,0,4,1,1,0
11/26,Los Angeles Lakers,Jahmyl Telfort,Bench,Healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/26,Los Angeles Lakers,Kobe Brown,Bench,Healthy,4,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,6,0,2,0
11/26,Los Angeles Lakers,Kobe Sanders,Bench,Healthy,0,0,1,0,2,1,0,0,2,0,0,0,2,0,0,0,6,1,1,0
11/26,Los Angeles Lakers,Nicolas Batum,Bench,Healthy,3,0,0,1,3,0,0,1,0,0,0,0,0,1,0,0,6,1,0,2
11/26,Los Angeles Lakers,Yanic Konan Niederhauser,Bench,Healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/23,Cleveland Cavaliers,Brook Lopez,Bench,Healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
11/23,Cleveland Cavaliers,Cam Christie,Bench,Healthy,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,3,0,1,0
11/23,Cleveland Cavaliers,Chris Paul,Bench,Healthy,0,0,0,0,0,1,1,0,0,0,0,0,2,0,4,0,2,1,5,0
11/23,Cleveland Cavaliers,Jahmyl Telfort,Bench,Healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
11/23,Cleveland Cavaliers,Kobe Brown,Bench,Healthy,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,3,0,1,1
11/23,Cleveland Cavaliers,Kobe Sanders,Bench,Healthy,0,0,0,0,3,1,1,1,0,0,0,0,2,0,0,0,5,1,1,1
11/23,Cleveland Cavaliers,Nicolas Batum,Bench,Healthy,0,0,0,0,3,2,1,1,3,0,0,1,0,1,0,0,6,3,1,2
11/23,Cleveland Cavaliers,Yanic Konan Niederhauser,Bench,Healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0
11/22,Charlotte Hornets,Brook Lopez,Bench,Healthy,0,1,1,0,2,0,0,0,0,0,0,0,9,0,0,3,11,1,1,3
11/22,Charlotte Hornets,Cam Christie,Bench,Healthy,0,0,0,0,2,5,0,0,4,2,0,0,2,2,0,0,8,9,0,0
11/22,Charlotte Hornets,Chris Paul,Bench,Healthy,3,1,1,1,0,0,2,0,0,1,0,0,0,2,5,0,3,4,8,1
11/22,Charlotte Hornets,Jahmyl Telfort,Bench,Healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/22,Charlotte Hornets,Kobe Brown,Bench,Healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/22,Charlotte Hornets,Nicolas Batum,Bench,Healthy,0,1,0,0,3,0,0,1,3,2,0,1,3,0,0,1,9,3,0,3
11/22,Charlotte Hornets,Yanic Konan Niederhauser,Bench,Healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0
11/21,Orlando Magic,Bogdan Bogdanovic,Bench,Out,0,0,0,0,0,0,0,0,6,1,0,2,0,0,3,0,6,1,3,2
11/21,Orlando Magic,Brook Lopez,Bench,Healthy,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
11/21,Orlando Magic,Cam Christie,Bench,Healthy,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,6,1,0,1
11/21,Orlando Magic,Chris Paul,Bench,Healthy,0,0,0,0,2,1,2,0,0,0,0,0,2,1,2,0,4,2,4,0
11/21,Orlando Magic,Jahmyl Telfort,Bench,Healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/21,Orlando Magic,Kobe Brown,Bench,Healthy,0,0,0,0,0,0,0,0,0,0,1,0,9,3,0,3,9,3,1,3
11/21,Orlando Magic,Nicolas Batum,Bench,Healthy,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,3,2,0,1
11/21,Orlando Magic,Yanic Konan Niederhauser,Bench,Healthy,0,0,0,0,0,0,0,0,2,0,0,0,4,1,1,0,6,1,1,0
11/18,Philadelphia 76ers,Bogdan Bogdanovic,Bench,Out,0,3,0,0,1,2,2,0,2,0,2,0,6,2,1,1,9,7,5,1
11/18,Philadelphia 76ers,Brook Lopez,Bench,Healthy,0,0,0,0,6,0,0,1,0,1,0,0,0,0,0,0,6,1,0,1
11/18,Philadelphia 76ers,Cam Christie,Bench,Healthy,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
11/18,Philadelphia 76ers,Chris Paul,Bench,Healthy,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,1,3,2,0,1
11/18,Philadelphia 76ers,Nicolas Batum,Bench,Healthy,2,0,0,0,6,1,0,2,3,4,0,1,0,1,1,0,11,6,1,3
