Game_Date,Opponent,Player,Player_Status,Injury_Status,PTS_Q1,REB_Q1,AST_Q1,3PM_Q1,PTS_Q2,REB_Q2,AST_Q2,3PM_Q2,PTS_Q3,REB_Q3,AST_Q3,3PM_Q3,PTS_Q4,REB_Q4,AST_Q4,3PM_Q4,PTS_TOTAL,REB_TOTAL,AST_TOTAL,3PM_TOTAL
11/27,New Orleans Pelicans,Cedric Coward,Starter,Healthy,2,1,0,0,2,2,1,0,5,1,1,0,2,4,2,0,12,9,4,0
11/27,New Orleans Pelicans,Jaren Jackson Jr.,Starter,Healthy,9,1,0,3,0,0,0,0,7,3,0,1,6,1,1,0,27,5,2,5
11/27,New Orleans Pelicans,Jaylen Wells,Starter,Healthy,6,2,0,2,0,0,0,0,8,1,1,2,7,0,0,1,25,3,1,5
11/27,New Orleans Pelicans,Vince Williams Jr.,Starter,Healthy,0,1,5,0,0,1,2,0,2,0,5,0,2,2,4,0,5,4,17,0
11/27,New Orleans Pelicans,Zach Edey,Starter,Healthy,4,4,0,0,2,2,0,0,4,2,0,0,11,3,0,0,21,15,0,0
11/25,Denver Nuggets,Cedric Coward,Starter,Healthy,0,3,1,0,2,0,0,0,3,0,1,1,0,0,0,0,5,3,2,1
11/25,Denver Nuggets,Jaren Jackson Jr.,Starter,Healthy,5,2,1,0,2,0,0,0,5,3,3,1,4,1,0,0,16,6,4,1
11/25,Denver Nuggets,Jaylen Wells,Starter,Healthy,7,2,0,2,4,0,0,1,6,1,2,0,5,2,1,1,22,5,3,4
11/25,Denver Nuggets,Vince Williams Jr.,Starter,Healthy,0,0,2,0,3,2,2,1,3,3,1,1,0,0,2,0,6,5,7,2
11/25,Denver Nuggets,Zach Edey,Starter,Healthy,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
11/23,Dallas Mavericks,Cedric Coward,Starter,Healthy,0,0,1,0,0,0,0,0,5,2,0,0,4,0,0,0,9,2,1,0
11/23,Dallas Mavericks,Jaylen Wells,Starter,Healthy,2,1,2,0,3,4,1,0,0,0,1,0,4,0,0,0,9,5,4,0
11/23,Dallas Mavericks,Santi Aldama,Starter,Healthy,4,0,0,0,2,2,1,0,10,3,1,2,4,3,2,0,20,8,4,2
