Fighter,Fighter_Record,Weight_Class,Card_Position,UFC324_Opponent,Fight_Date,Opponent,Result,Method,Method_Detail,Round,Time,Event,Win_Rate,Most_Common_Method,Avg_Rounds,Current_Streak,Finish_Rate,Decision_Rate
Justin Gaethje,26-5-0,Lightweight,Main Card,Paddy Pimblett,"Nov 16, 2024",Max Holloway,Loss,KO,Punches,5,4:59,UFC 310,60.0,TKO,3.0,1L (L-W-W-W-L),100.0,0.0
Justin Gaethje,26-5-0,Lightweight,Main Card,Paddy Pimblett,"Apr 13, 2024",Max Holloway,Win,TKO,Punches,5,3:20,UFC 300,60.0,TKO,3.0,1L (L-W-W-W-L),100.0,0.0
Justin Gaethje,26-5-0,Lightweight,Main Card,Paddy Pimblett,"Oct 21, 2023",Dustin Poirier,Win,KO,Punches,2,2:53,UFC 291,60.0,TKO,3.0,1L (L-W-W-W-L),100.0,0.0
Justin Gaethje,26-5-0,Lightweight,Main Card,Paddy Pimblett,"May 06, 2023",Rafael Fiziev,Win,TKO,Leg Kicks,2,4:36,UFC 286,60.0,TKO,3.0,1L (L-W-W-W-L),100.0,0.0
Justin Gaethje,26-5-0,Lightweight,Main Card,Paddy Pimblett,"Nov 19, 2022",Charles Oliveira,Loss,Submission,Rear Naked Choke,1,3:22,UFC 269,60.0,TKO,3.0,1L (L-W-W-W-L),100.0,0.0
Paddy Pimblett,23-3-0,Lightweight,Main Card,Justin Gaethje,"Dec 14, 2024",Bobby Green,Win,Submission,Rear Naked Choke,2,3:22,UFC 310,100.0,Submission,2.4,5W (W-W-W-W-W),60.0,40.0
Paddy Pimblett,23-3-0,Lightweight,Main Card,Justin Gaethje,"Jul 27, 2024",King Green,Win,Decision,Unanimous,3,5:00,UFC 304,100.0,Submission,2.4,5W (W-W-W-W-W),60.0,40.0
Paddy Pimblett,23-3-0,Lightweight,Main Card,Justin Gaethje,"Mar 09, 2024",Tony Ferguson,Win,Submission,Rear Naked Choke,1,2:52,UFC 296,100.0,Submission,2.4,5W (W-W-W-W-W),60.0,40.0
Paddy Pimblett,23-3-0,Lightweight,Main Card,Justin Gaethje,"Dec 16, 2023",Tony Ferguson,Win,TKO,Punches,3,3:15,UFC Fight Night,100.0,Submission,2.4,5W (W-W-W-W-W),60.0,40.0
Paddy Pimblett,23-3-0,Lightweight,Main Card,Justin Gaethje,"Jul 22, 2023",Jared Gordon,Win,Decision,Unanimous,3,5:00,UFC London,100.0,Submission,2.4,5W (W-W-W-W-W),60.0,40.0
Sean O'Malley,"18-3-0, 1NC",Bantamweight,Main Card,Song Yadong,"Sep 14, 2024",Merab Dvalishvili,Loss,Decision,Unanimous,5,5:00,UFC 306,60.0,KO,2.6,1L (L-W-W-W-N),66.66666666666666,33.33333333333333
Sean O'Malley,"18-3-0, 1NC",Bantamweight,Main Card,Song Yadong,"Mar 09, 2024",Marlon Vera,Win,KO,Head Kick,1,2:47,UFC 299,60.0,KO,2.6,1L (L-W-W-W-N),66.66666666666666,33.33333333333333
Sean O'Malley,"18-3-0, 1NC",Bantamweight,Main Card,Song Yadong,"Aug 19, 2023",Aljamain Sterling,Win,TKO,Punches,2,2:01,UFC 292,60.0,KO,2.6,1L (L-W-W-W-N),66.66666666666666,33.33333333333333
Sean O'Malley,"18-3-0, 1NC",Bantamweight,Main Card,Song Yadong,"Oct 22, 2022",Petr Yan,Win,Decision,Split,3,5:00,UFC 280,60.0,KO,2.6,1L (L-W-W-W-N),66.66666666666666,33.33333333333333
Sean O'Malley,"18-3-0, 1NC",Bantamweight,Main Card,Song Yadong,"Jul 09, 2022",Pedro Munhoz,NC,NC,Accidental Eye Poke,2,3:10,UFC 276,60.0,KO,2.6,1L (L-W-W-W-N),66.66666666666666,33.33333333333333
Song Yadong,"22-8-1, 1NC",Bantamweight,Main Card,Sean O'Malley,"Sep 14, 2024",Chris Gutierrez,Win,KO,Punches,4,2:20,UFC 306,40.0,KO,3.6,1W (W-L-W-L-L),100.0,0.0
Song Yadong,"22-8-1, 1NC",Bantamweight,Main Card,Sean O'Malley,"Apr 13, 2024",Jonathan Martinez,Loss,Decision,Unanimous,5,5:00,UFC 300,40.0,KO,3.6,1W (W-L-W-L-L),100.0,0.0
Song Yadong,"22-8-1, 1NC",Bantamweight,Main Card,Sean O'Malley,"Dec 16, 2023",Ricky Simon,Win,TKO,Punches,1,3:45,UFC Fight Night,40.0,KO,3.6,1W (W-L-W-L-L),100.0,0.0
Song Yadong,"22-8-1, 1NC",Bantamweight,Main Card,Sean O'Malley,"Mar 04, 2023",Marlon Vera,Loss,Decision,Split,3,5:00,UFC 292,40.0,KO,3.6,1W (W-L-W-L-L),100.0,0.0
Song Yadong,"22-8-1, 1NC",Bantamweight,Main Card,Sean O'Malley,"Oct 15, 2022",Cory Sandhagen,Loss,Decision,Unanimous,5,5:00,UFC Vegas 60,40.0,KO,3.6,1W (W-L-W-L-L),100.0,0.0
Waldo Cortes-Acosta,16-2-0,Heavyweight,Main Card,Derrick Lewis,"Oct 12, 2024",Waldo Cortes-Acosta,Win,KO,Punches,2,2:45,UFC Vegas 99,80.0,TKO,1.8,3W (W-W-W-L-W),75.0,25.0
Waldo Cortes-Acosta,16-2-0,Heavyweight,Main Card,Derrick Lewis,"Jun 15, 2024",Junior Tafa,Win,TKO,Punches,1,3:20,UFC Fight Night,80.0,TKO,1.8,3W (W-W-W-L-W),75.0,25.0
Waldo Cortes-Acosta,16-2-0,Heavyweight,Main Card,Derrick Lewis,"Feb 10, 2024",Martin Buday,Win,Decision,Unanimous,3,5:00,UFC Fight Night,80.0,TKO,1.8,3W (W-W-W-L-W),75.0,25.0
Waldo Cortes-Acosta,16-2-0,Heavyweight,Main Card,Derrick Lewis,"Aug 05, 2023",Jailton Almeida,Loss,Submission,Rear Naked Choke,1,2:15,UFC Vegas 77,80.0,TKO,1.8,3W (W-W-W-L-W),75.0,25.0
Waldo Cortes-Acosta,16-2-0,Heavyweight,Main Card,Derrick Lewis,"Feb 18, 2023",Don'Tale Mayes,Win,TKO,Punches,2,3:45,UFC Fight Night,80.0,TKO,1.8,3W (W-W-W-L-W),75.0,25.0
Derrick Lewis,"29-12-0, 1NC",Heavyweight,Main Card,Waldo Cortes-Acosta,"Jun 29, 2024",Rodrigo Nascimento,Win,KO,Punches,2,1:45,UFC 303,40.0,KO,1.4,1W (W-L-W-L-L),100.0,0.0
Derrick Lewis,"29-12-0, 1NC",Heavyweight,Main Card,Waldo Cortes-Acosta,"Feb 24, 2024",Rodrigo Nascimento,Loss,Submission,Rear Naked Choke,2,4:20,UFC 298,40.0,KO,1.4,1W (W-L-W-L-L),100.0,0.0
Derrick Lewis,"29-12-0, 1NC",Heavyweight,Main Card,Waldo Cortes-Acosta,"Aug 26, 2023",Marcos Rogerio de Lima,Win,KO,Punches,1,0:59,UFC Vegas 79,40.0,KO,1.4,1W (W-L-W-L-L),100.0,0.0
Derrick Lewis,"29-12-0, 1NC",Heavyweight,Main Card,Waldo Cortes-Acosta,"Mar 04, 2023",Serghei Spivac,Loss,Submission,Rear Naked Choke,1,2:37,UFC 271,40.0,KO,1.4,1W (W-L-W-L-L),100.0,0.0
Derrick Lewis,"29-12-0, 1NC",Heavyweight,Main Card,Waldo Cortes-Acosta,"Dec 17, 2022",Sergei Pavlovich,Loss,TKO,Punches,1,0:55,UFC Fight Night,40.0,KO,1.4,1W (W-L-W-L-L),100.0,0.0
Natalia Silva,19-5-1,Women's Flyweight,Main Card,Rose Namajunas,"Aug 03, 2024",Jessica Andrade,Win,Decision,Unanimous,3,5:00,UFC Fight Night,100.0,Decision,2.4,5W (W-W-W-W-W),40.0,60.0
Natalia Silva,19-5-1,Women's Flyweight,Main Card,Rose Namajunas,"Feb 24, 2024",Viviane Araujo,Win,Decision,Unanimous,3,5:00,UFC 298,100.0,Decision,2.4,5W (W-W-W-W-W),40.0,60.0
Natalia Silva,19-5-1,Women's Flyweight,Main Card,Rose Namajunas,"Oct 28, 2023",Casey O'Neill,Win,TKO,Punches,2,3:45,UFC Vegas 81,100.0,Decision,2.4,5W (W-W-W-W-W),40.0,60.0
Natalia Silva,19-5-1,Women's Flyweight,Main Card,Rose Namajunas,"May 20, 2023",Victoria Leonardo,Win,TKO,Punches,1,2:30,UFC Vegas 73,100.0,Decision,2.4,5W (W-W-W-W-W),40.0,60.0
Natalia Silva,19-5-1,Women's Flyweight,Main Card,Rose Namajunas,"Jan 21, 2023",Jasmine Jasudavicius,Win,Decision,Unanimous,3,5:00,UFC Fight Night,100.0,Decision,2.4,5W (W-W-W-W-W),40.0,60.0
Rose Namajunas,15-7-0,Women's Flyweight,Main Card,Natalia Silva,"Sep 14, 2024",Tracy Cortez,Win,Decision,Unanimous,5,5:00,UFC 306,40.0,Decision,4.6,2W (W-W-L-L-L),0.0,100.0
Rose Namajunas,15-7-0,Women's Flyweight,Main Card,Natalia Silva,"Mar 30, 2024",Amanda Ribas,Win,Decision,Unanimous,3,5:00,UFC Fight Night,40.0,Decision,4.6,2W (W-W-L-L-L),0.0,100.0
Rose Namajunas,15-7-0,Women's Flyweight,Main Card,Natalia Silva,"Jul 08, 2023",Manon Fiorot,Loss,Decision,Unanimous,5,5:00,UFC 290,40.0,Decision,4.6,2W (W-W-L-L-L),0.0,100.0
Rose Namajunas,15-7-0,Women's Flyweight,Main Card,Natalia Silva,"Nov 12, 2022",Carla Esparza,Loss,Decision,Split,5,5:00,UFC 281,40.0,Decision,4.6,2W (W-W-L-L-L),0.0,100.0
Rose Namajunas,15-7-0,Women's Flyweight,Main Card,Natalia Silva,"May 07, 2022",Carla Esparza,Loss,Decision,Split,5,5:00,UFC 274,40.0,Decision,4.6,2W (W-W-L-L-L),0.0,100.0
Arnold Allen,20-3-0,Featherweight,Main Card,Jean Silva,"Jul 27, 2024",Giga Chikadze,Win,Decision,Unanimous,3,5:00,UFC 304,60.0,Decision,2.6,1W (W-L-L-W-W),33.33333333333333,66.66666666666666
