Fight_Number,Fighter,Fighter_Record,Weight_Class,Card_Position,UFC325_Opponent,Fight_Index,Year,Fight_Date,Opponent,Result,Method,Method_Detail,Round,Time,Event,Win_Rate,Most_Common_Method,Avg_Rounds,Current_Streak,Finish_Rate,Decision_Rate,Total_KO_TKO,Total_Submissions,Total_Decisions,Total_NC,Wins_by_KO_TKO,Wins_by_Submission,Wins_by_Decision,Losses_by_KO_TKO,Losses_by_Submission,Losses_by_Decision
1,Alexander Volkanovski,27-4-0,Featherweight,Main Card,Diego Lopes,1,2025,"Oct 26, 2025",Diego Lopes,Win,Decision,Unanimous,5,5:00,UFC 314,40.0,Decision,3.2,1W (W-L-L-W-L),50.0,50.0,2,1,2,0,1,0,1,1,1,1
1,Alexander Volkanovski,27-4-0,Featherweight,Main Card,Diego Lopes,2,2024,"Feb 17, 2024",Ilia Topuria,Loss,KO,Punches,2,3:32,UFC 298,40.0,Decision,3.2,1W (W-L-L-W-L),50.0,50.0,2,1,2,0,1,0,1,1,1,1
1,Alexander Volkanovski,27-4-0,Featherweight,Main Card,Diego Lopes,3,2023,"Oct 21, 2023",Islam Makhachev,Loss,Submission,Armbar,1,3:06,UFC 294,40.0,Decision,3.2,1W (W-L-L-W-L),50.0,50.0,2,1,2,0,1,0,1,1,1,1
1,Alexander Volkanovski,27-4-0,Featherweight,Main Card,Diego Lopes,4,2023,"Jul 08, 2023",Yair Rodriguez,Win,TKO,Shoulder Injury,3,0:44,UFC 290,40.0,Decision,3.2,1W (W-L-L-W-L),50.0,50.0,2,1,2,0,1,0,1,1,1,1
1,Alexander Volkanovski,27-4-0,Featherweight,Main Card,Diego Lopes,5,2023,"Feb 12, 2023",Islam Makhachev,Loss,Decision,Unanimous,5,5:00,UFC 284,40.0,Decision,3.2,1W (W-L-L-W-L),50.0,50.0,2,1,2,0,1,0,1,1,1,1
1,Diego Lopes,26-6-0,Featherweight,Main Card,Alexander Volkanovski,1,2025,"Oct 26, 2025",Alexander Volkanovski,Loss,Decision,Unanimous,5,5:00,UFC 314,80.0,Submission,2.6,1L (L-W-W-W-W),100.0,0.0,2,2,1,0,2,2,0,0,0,1
1,Diego Lopes,26-6-0,Featherweight,Main Card,Alexander Volkanovski,2,2024,"Jun 29, 2024",Brian Ortega,Win,Submission,Guillotine Choke,2,2:48,UFC 303,80.0,Submission,2.6,1L (L-W-W-W-W),100.0,0.0,2,2,1,0,2,2,0,0,0,1
1,Diego Lopes,26-6-0,Featherweight,Main Card,Alexander Volkanovski,3,2024,"Apr 13, 2024",Sodiq Yusuff,Win,KO,Punches,1,4:03,UFC 300,80.0,Submission,2.6,1L (L-W-W-W-W),100.0,0.0,2,2,1,0,2,2,0,0,0,1
1,Diego Lopes,26-6-0,Featherweight,Main Card,Alexander Volkanovski,4,2023,"Aug 26, 2023",Movsar Evloev,Win,TKO,Punches,3,3:45,UFC Fight Night,80.0,Submission,2.6,1L (L-W-W-W-W),100.0,0.0,2,2,1,0,2,2,0,0,0,1
1,Diego Lopes,26-6-0,Featherweight,Main Card,Alexander Volkanovski,5,2023,"May 06, 2023",Pat Sabatini,Win,Submission,Rear Naked Choke,2,3:15,UFC 288,80.0,Submission,2.6,1L (L-W-W-W-W),100.0,0.0,2,2,1,0,2,2,0,0,0,1
